Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Combined,Outlet_Code
FDA15,9.3,0,0.016047301,249.8092,OUT049,10,1,0,1,3735.138,1,9
DRC01,5.92,2,0.019278216,48.2692,OUT018,0,1,2,2,443.4228,0,3
FDN15,17.5,0,0.016760075,141.618,OUT049,10,1,0,1,2097.27,1,9
FDX07,19.2,2,0.017834337888888892,182.095,OUT010,11,1,2,0,732.38,1,0
NCD19,8.93,1,0.009779828555555557,53.8614,OUT013,22,0,2,1,994.7052,2,1
FDP36,10.395,2,0.057058688875,51.4008,OUT018,0,1,2,2,556.6088,1,3
FDO10,13.65,2,0.012741088999999999,57.6588,OUT013,22,0,2,1,343.5528,1,1
FDP10,12.792854228644991,0,0.127469857,107.7622,OUT027,24,1,2,3,4022.7636,1,5
FDH17,16.2,2,0.016687114,96.9726,OUT045,7,1,1,1,1076.5986,1,7
FDU28,19.2,2,0.09444959,187.8214,OUT017,2,1,1,1,4710.535,1,2
FDY07,11.8,0,0.040626524444444444,45.5402,OUT049,10,1,0,1,1516.0266,1,9
FDA03,18.5,2,0.045463773,144.1102,OUT046,12,2,0,1,2187.153,1,8
FDX32,15.1,2,0.1000135,145.4786,OUT049,10,1,0,1,1589.2646,1,9
FDS46,17.6,2,0.047257328,119.6782,OUT046,12,2,0,1,2145.2076,1,8
FDF32,16.35,0,0.06802430000000001,196.4426,OUT013,22,0,2,1,1977.4260000000002,1,1
FDP49,9.0,2,0.06908896099999999,56.3614,OUT046,12,2,0,1,1547.3192,1,8
NCB42,11.8,1,0.008596051,115.3492,OUT018,0,1,2,2,1621.8888,2,3
FDP49,9.0,2,0.06919637599999999,54.3614,OUT049,10,1,0,1,718.3982,1,9
DRI11,12.792854228644991,0,0.034237682,113.2834,OUT027,24,1,2,3,2303.6679999999997,0,5
FDU02,13.35,0,0.10249212,230.5352,OUT035,5,2,1,1,2748.4224,1,6
FDN22,18.85,2,0.138190277,250.8724,OUT013,22,0,2,1,3775.086,1,1
FDW12,12.792854228644991,2,0.035399923,144.5444,OUT027,24,1,2,3,4064.0432,1,5
NCB30,14.6,1,0.025698133999999997,196.5084,OUT035,5,2,1,1,1587.2672,2,6
FDC37,12.792854228644991,0,0.057556998,107.6938,OUT019,24,2,0,0,214.3876,1,4
FDR28,13.85,2,0.025896485,165.021,OUT046,12,2,0,1,4078.025,1,8
NCD06,13.0,1,0.099887103,45.906000000000006,OUT017,2,1,1,1,838.908,2,2
FDV10,7.645,2,0.06669343700000001,42.3112,OUT035,5,2,1,1,1065.28,1,6
DRJ59,11.65,0,0.019356131999999998,39.1164,OUT013,22,0,2,1,308.9312,0,1
FDE51,5.925,2,0.161466534,45.5086,OUT010,11,1,2,0,178.4344,1,0
